State,Total Boysâ€™ and Co-educational Schools - All Management ,Total Boysâ€™ and Co-educational Schools - Govt. ,Total Boysâ€™ and Co-educational Schools - Govt. Aided , Total Boysâ€™ and Co-educational Schools - Pvt. Unaided , Total Boysâ€™ and Co-educational Schools - Others , Schools with Boyâ€™s Toilet Facility - All Management , Schools with Boyâ€™s Toilet Facility - Govt. , Schools with Boyâ€™s Toilet Facility - Govt. Aided , Schools with Boyâ€™s Toilet Facility - Pvt. Unaided , Schools with Boyâ€™s Toilet Facility - Others , Schools with Functional boyâ€™s Toilet Facility - All Management  , Schools with Functional boyâ€™s Toilet Facility - Govt. , Schools with Functional boyâ€™s Toilet Facility - Govt. Aided , Schools with Functional boyâ€™s Toilet Facility - Pvt. Unaided , Schools with Functional boyâ€™s Toilet Facility - Others , % of Boysâ€™ and Co-educational Schools with Boyâ€™s Toilet Facility - All Management , % of Boysâ€™ and Co-educational Schools with Boyâ€™s Toilet Facility - Govt. , % of Boysâ€™ and Co-educational Schools with Boyâ€™s Toilet Facility - Govt. Aided , % of Boysâ€™ and Co-educational Schools with Boyâ€™s Toilet Facility - Pvt. Unaided , % of Boysâ€™ and Co-educational Schools with Boyâ€™s Toilet Facility - Others , % of Boysâ€™ and Co-educational Schools with functional Boyâ€™s Toilet Facility - All Management , % of Boysâ€™ and Co-educational Schools with functional Boyâ€™s Toilet Facility - Govt. , % of Boysâ€™ and Co-educational Schools with functional Boyâ€™s Toilet Facility - Govt. Aided , % of Boysâ€™ and Co-educational Schools with functional Boyâ€™s Toilet Facility - Pvt. Unaided , % of Boysâ€™ and Co-educational Schools with functional Boyâ€™s Toilet Facility - Others 
Andaman and Nicobar Islands,416,341,2,73,0,413,338,2,73,0,413,338,2,73,0,99.28,99.12,100.0,100.0,0.0,99.28,99.12,100.0,100.0,0.0
Andhra Pradesh,62430,44429,2048,15693,260,53410,36518,1259,15454,179,43415,27147,1180,14920,168,85.55,82.19,61.47,98.48,68.85,69.54,61.1,57.62,95.07,64.62
Arunachal Pradesh,3586,2982,59,494,51,3271,2674,58,489,50,2603,2015,58,481,49,91.22,89.67,98.31,98.99,98.04,72.59,67.57,98.31,97.37,96.08
Assam,64229,46271,4653,5994,7311,54544,43466,2728,5650,2700,49230,39783,2107,5323,2017,84.92,93.94,58.63,94.26,36.93,76.65,85.98,45.28,88.81,27.59
Bihar,92484,74856,680,7759,9189,90500,72993,661,7709,9137,89766,72304,658,7696,9108,97.85,97.51,97.21,99.36,99.43,97.06,96.59,96.76,99.19,99.12
Chandigarh,227,121,6,73,27,227,121,6,73,27,227,121,6,73,27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Chhattisgarh,55172,47378,379,7108,307,54113,46349,370,7095,299,52354,44709,361,6999,285,98.08,97.83,97.63,99.82,97.39,94.89,94.37,95.25,98.47,92.83
Dadra and Nagar Haveli and Daman and Diu,474,402,8,63,1,474,402,8,63,1,474,402,8,63,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Delhi,4795,1985,192,2618,0,4795,1985,192,2618,0,4795,1985,192,2618,0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
Goa,1470,821,511,138,0,1470,821,511,138,0,1469,821,510,138,0,100.0,100.0,100.0,100.0,0.0,99.93,100.0,99.8,100.0,0.0
Gujarat,52617,33808,5274,13533,2,52234,33465,5248,13519,2,51245,32482,5243,13518,2,99.27,98.99,99.51,99.9,100.0,97.39,96.08,99.41,99.89,100.0
Haryana,22467,13314,16,8193,944,22185,13038,16,8190,941,22072,12935,16,8183,938,98.74,97.93,100.0,99.96,99.68,98.24,97.15,100.0,99.88,99.36
Himachal Pradesh,18071,15320,0,2750,1,17840,15095,0,2744,1,17723,14990,0,2732,1,98.72,98.53,0.0,99.78,100.0,98.07,97.85,0.0,99.35,100.0
Jammu and Kashmir,28476,22741,1,5626,108,25291,19618,1,5565,107,23341,17677,1,5556,107,88.82,86.27,100.0,98.92,99.07,81.97,77.73,100.0,98.76,99.07
Jharkhand,44567,35387,1059,1444,6677,43816,34874,926,1425,6591,42879,34106,885,1420,6468,98.31,98.55,87.44,98.68,98.71,96.21,96.38,83.57,98.34,96.87
Karnataka,75358,48826,6858,19658,16,73233,46803,6827,19587,16,72560,46144,6822,19578,16,97.18,95.86,99.55,99.64,100.0,96.29,94.51,99.48,99.59,100.0
Kerala,16254,4964,7041,3222,1027,16094,4875,6979,3215,1025,16015,4814,6966,3212,1023,99.02,98.21,99.12,99.78,99.81,98.53,96.98,98.93,99.69,99.61
Ladakh,1030,892,26,112,0,990,854,25,111,0,970,834,25,111,0,96.12,95.74,96.15,99.11,0.0,94.17,93.5,96.15,99.11,0.0
Lakshadweep,45,45,0,0,0,45,45,0,0,0,45,45,0,0,0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
Madhya Pradesh,130223,96275,714,31418,1816,127269,93530,707,31233,1799,124057,90642,701,30950,1764,97.73,97.15,99.02,99.41,99.06,95.27,94.15,98.18,98.51,97.14
Maharashtra,108321,64833,23206,19480,802,104939,61573,23124,19446,796,100415,57321,23026,19277,791,96.88,94.97,99.65,99.83,99.25,92.7,88.41,99.22,98.96,98.63
Manipur,4616,2862,571,1021,162,4057,2483,408,1010,156,3427,1990,286,997,154,87.89,86.76,71.45,98.92,96.3,74.24,69.53,50.09,97.65,95.06
Meghalaya,14609,7770,4129,2166,544,12430,7068,3430,1573,359,10615,5972,2950,1374,319,85.08,90.97,83.07,72.62,65.99,72.66,76.86,71.45,63.43,58.64
Mizoram,3920,2556,229,1049,86,3725,2433,218,994,80,3578,2313,207,981,77,95.03,95.19,95.2,94.76,93.02,91.28,90.49,90.39,93.52,89.53
Nagaland,2716,1975,0,740,1,2551,1820,0,730,1,2408,1686,0,721,1,93.92,92.15,0.0,98.65,100.0,88.66,85.37,0.0,97.43,100.0
Odisha,63320,49929,5485,6226,1680,62006,49579,4952,5973,1502,57232,45554,4439,5824,1415,97.92,99.3,90.28,95.94,89.4,90.39,91.24,80.93,93.54,84.23
Puducherry,710,397,30,283,0,710,397,30,283,0,710,397,30,283,0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
Punjab,28221,18966,431,8807,17,28221,18966,431,8807,17,28221,18966,431,8807,17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Rajasthan,104020,65636,0,35862,2522,101417,63464,0,35698,2255,93751,58397,0,33326,2028,97.5,96.69,0.0,99.54,89.41,90.13,88.97,0.0,92.93,80.41
Sikkim,1257,846,18,393,0,1252,842,18,392,0,1246,836,18,392,0,99.6,99.53,100.0,99.75,0.0,99.12,98.82,100.0,99.75,0.0
Tamil Nadu,57747,36966,7891,12305,585,56730,36276,7594,12282,578,56259,35816,7584,12281,578,98.24,98.13,96.24,99.81,98.8,97.42,96.89,96.11,99.8,98.8
Telangana,41437,28719,631,11940,147,34604,22125,541,11801,137,29338,16933,513,11757,135,83.51,77.04,85.74,98.84,93.2,70.8,58.96,81.3,98.47,91.84
Tripura,4907,4241,43,358,265,4535,3945,43,352,195,3655,3122,40,335,158,92.42,93.02,100.0,98.32,73.58,74.49,73.61,93.02,93.58,59.62
Uttar Pradesh,253113,135754,7528,95426,14405,248905,132463,7340,94897,14205,243536,128607,7268,93700,13961,98.34,97.58,97.5,99.45,98.61,96.22,94.74,96.55,98.19,96.92
Uttarakhand,22835,16408,574,5356,497,21775,15412,556,5316,491,20441,14159,547,5253,482,95.36,93.93,96.86,99.25,98.79,89.52,86.29,95.3,98.08,96.98
West Bengal,92391,80802,68,9905,1616,92231,80744,67,9843,1577,92231,80744,67,9843,1577,99.83,99.93,98.53,99.37,97.59,99.83,99.93,98.53,99.37,97.59
