State,Total Schools - All Management,Total Schools - Govt.,Total Schools - Govt. Aided,Total Schools - Pvt. Unaided,Total Schools - Others,Schools with Internet Facility Available - All Management,Schools with Internet Facility Available - Govt.,Schools with Internet Facility Available - Govt. Aided,Schools with Internet Facility Available - Pvt. Unaided,Schools with Internet Facility Available - Others,% of Schools with Internet Facility available - All Management,% of Schools with Internet Facility available - Govt.,% of Schools with Internet Facility available - Govt. Aided,% of Schools with Internet Facility available - Pvt. Unaided,% of Schools with Internet Facility available - Others
Andaman and Nicobar Islands,417,342,2,73,0,140,91,2,47,0,33.57,26.61,100.0,64.38,0.0
Andhra Pradesh,63343,45145,2121,15792,285,14975,3987,323,10601,64,23.64,8.83,15.23,67.13,22.46
Arunachal Pradesh,3675,3061,67,496,51,350,116,28,198,8,9.52,3.79,41.79,39.92,15.69
Assam,65203,46749,4983,6045,7426,4206,2260,137,1735,74,6.45,4.83,2.75,28.7,1.0
Bihar,93459,75555,735,7923,9246,8359,1664,42,3767,2886,8.94,2.2,5.71,47.55,31.21
Chandigarh,230,121,7,75,27,224,121,7,75,21,97.39,100.0,100.0,100.0,77.78
Chhattisgarh,56494,48619,430,7131,314,7922,4116,104,3671,31,14.02,8.47,24.19,51.48,9.87
Dadra and Nagar Haveli and Daman and Diu,479,407,8,63,1,176,110,7,58,1,36.74,27.03,87.5,92.06,100.0
Delhi,5642,2751,250,2641,0,4917,2470,204,2243,0,87.15,89.79,81.6,84.93,0.0
Goa,1481,821,522,138,0,577,70,398,109,0,38.96,8.53,76.25,78.99,0.0
Gujarat,54444,34967,5640,13834,3,40956,25301,3936,11717,2,75.23,72.36,69.79,84.7,66.67
Haryana,23764,14563,17,8235,949,10545,3093,13,6857,582,44.37,21.24,76.47,83.27,61.33
Himachal Pradesh,18145,15391,0,2753,1,4216,2186,0,2030,0,23.24,14.2,0.0,73.74,0.0
Jammu and Kashmir,28930,23167,1,5649,113,3740,1237,0,2474,29,12.93,5.34,0.0,43.8,25.66
Jharkhand,45319,35888,1175,1542,6714,14723,10334,211,1082,3096,32.49,28.8,17.96,70.17,46.11
Karnataka,76905,49791,7182,19915,17,19105,3031,2691,13378,5,24.84,6.09,37.47,67.18,29.41
Kerala,16481,5020,7191,3241,1029,14670,4378,6568,2991,733,89.01,87.21,91.34,92.29,71.23
Ladakh,1056,915,29,112,0,590,519,7,64,0,55.87,56.72,24.14,57.14,0.0
Lakshadweep,45,45,0,0,0,42,42,0,0,0,93.33,93.33,0.0,0.0,0.0
Madhya Pradesh,133271,99152,773,31512,1834,20115,4020,230,15601,264,15.09,4.05,29.75,49.51,14.39
Maharashtra,110114,65734,23924,19632,824,40259,7770,15478,16413,598,36.56,11.82,64.7,83.6,72.57
Manipur,4653,2878,585,1027,163,767,82,11,618,56,16.48,2.85,1.88,60.18,34.36
Meghalaya,14694,7795,4176,2179,544,645,104,297,203,41,4.39,1.33,7.11,9.32,7.54
Mizoram,3925,2558,231,1050,86,359,110,42,188,19,9.15,4.3,18.18,17.9,22.09
Nagaland,2719,1975,0,743,1,454,70,0,383,1,16.7,3.54,0.0,51.55,100.0
Odisha,64185,50256,5844,6393,1692,4660,1428,380,2464,388,7.26,2.84,6.5,38.54,22.93
Puducherry,741,422,33,286,0,719,400,33,286,0,97.03,94.79,100.0,100.0,0.0
Punjab,28695,19330,455,8893,17,27047,19260,455,7329,3,94.26,99.64,100.0,82.41,17.65
Rajasthan,107376,68813,0,36023,2540,42365,19255,0,22910,200,39.45,27.98,0.0,63.6,7.87
Sikkim,1263,851,19,393,0,267,116,6,145,0,21.14,13.63,31.58,36.9,0.0
Tamil Nadu,58904,37589,8326,12402,587,18865,6767,2370,9378,350,32.03,18.0,28.47,75.62,59.63
Telangana,42917,30015,700,12023,179,9665,2460,173,7018,14,22.52,8.2,24.71,58.37,7.82
Tripura,4934,4265,43,360,266,274,119,13,122,20,5.55,2.79,30.23,33.89,7.52
Uttar Pradesh,256911,137068,8125,96741,14977,38388,4062,2524,29793,2009,14.94,2.96,31.06,30.8,13.41
Uttarakhand,23169,16651,614,5396,508,4185,1046,206,2810,123,18.06,6.28,33.55,52.08,24.21
West Bengal,95153,83379,87,10042,1645,10442,8550,31,1688,173,10.97,10.25,35.63,16.81,10.52
