State,Total Schools - All Management,Total Schools - Govt.,Total Schools - Govt. Aided,Total Schools - Pvt. Unaided,Total Schools - Others,Schools with Library Facility - All Management,Schools with Library Facility - Govt.,Schools with Library Facility - Govt. Aided,Schools with Library Facility - Pvt. Unaided,Schools with Library Facility - Others,% of Schools with Library Facility - All Management,% of Schools with Library Facility - Govt.,% of Schools with Library Facility - Govt. Aided,% of Schools with Library Facility - Pvt. Unaided,% of Schools with Library Facility - Others
Andaman and Nicobar Islands,417,342,2,73,0,415,341,2,72,0,99.52,99.71,100.0,98.63,0.0
Andhra Pradesh,63343,45145,2121,15792,285,57218,39773,1832,15361,252,90.33,88.1,86.37,97.27,88.42
Arunachal Pradesh,3675,3061,67,496,51,1565,1164,57,322,22,42.59,38.03,85.07,64.92,43.14
Assam,65203,46749,4983,6045,7426,54859,45327,2962,4417,2153,84.14,96.96,59.44,73.07,28.99
Bihar,93459,75555,735,7923,9246,56647,44295,481,6162,5709,60.61,58.63,65.44,77.77,61.75
Chandigarh,230,121,7,75,27,226,121,7,75,23,98.26,100.0,100.0,100.0,85.19
Chhattisgarh,56494,48619,430,7131,314,54786,47964,394,6185,243,96.98,98.65,91.63,86.73,77.39
Dadra and Nagar Haveli and Daman and Diu,479,407,8,63,1,475,407,8,59,1,99.16,100.0,100.0,93.65,100.0
Delhi,5642,2751,250,2641,0,5642,2751,250,2641,0,100.0,100.0,100.0,100.0,0.0
Goa,1481,821,522,138,0,1468,821,517,130,0,99.12,100.0,99.04,94.2,0.0
Gujarat,54444,34967,5640,13834,3,52157,34628,5509,12017,3,95.8,99.03,97.68,86.87,100.0
Haryana,23764,14563,17,8235,949,22900,14397,16,7755,732,96.36,98.86,94.12,94.17,77.13
Himachal Pradesh,18145,15391,0,2753,1,17263,14907,0,2356,0,95.14,96.86,0.0,85.58,0.0
Jammu and Kashmir,28930,23167,1,5649,113,19703,15273,1,4356,73,68.11,65.93,100.0,77.11,64.6
Jharkhand,45319,35888,1175,1542,6714,42213,34998,1092,1485,4638,93.15,97.52,92.94,96.3,69.08
Karnataka,76905,49791,7182,19915,17,73085,47901,6862,18306,16,95.03,96.2,95.54,91.92,94.12
Kerala,16481,5020,7191,3241,1029,16098,4966,7153,3096,883,97.68,98.92,99.47,95.53,85.81
Ladakh,1056,915,29,112,0,980,866,22,92,0,92.8,94.64,75.86,82.14,0.0
Lakshadweep,45,45,0,0,0,45,45,0,0,0,100.0,100.0,0.0,0.0,0.0
Madhya Pradesh,133271,99152,773,31512,1834,124880,94043,697,28653,1487,93.7,94.85,90.17,90.93,81.08
Maharashtra,110114,65734,23924,19632,824,107242,65099,23209,18243,691,97.39,99.03,97.01,92.92,83.86
Manipur,4653,2878,585,1027,163,1185,315,56,767,47,25.47,10.95,9.57,74.68,28.83
Meghalaya,14694,7795,4176,2179,544,2078,1230,491,295,62,14.14,15.78,11.76,13.54,11.4
Mizoram,3925,2558,231,1050,86,3210,2514,158,507,31,81.78,98.28,68.4,48.29,36.05
Nagaland,2719,1975,0,743,1,1513,1110,0,402,1,55.65,56.2,0.0,54.1,100.0
Odisha,64185,50256,5844,6393,1692,58868,46415,5223,5893,1337,91.72,92.36,89.37,92.18,79.02
Puducherry,741,422,33,286,0,741,422,33,286,0,100.0,100.0,100.0,100.0,0.0
Punjab,28695,19330,455,8893,17,28695,19330,455,8893,17,100.0,100.0,100.0,100.0,100.0
Rajasthan,107376,68813,0,36023,2540,81082,51979,0,28357,746,75.51,75.54,0.0,78.72,29.37
Sikkim,1263,851,19,393,0,1139,802,15,322,0,90.18,94.24,78.95,81.93,0.0
Tamil Nadu,58904,37589,8326,12402,587,58896,37581,8326,12402,587,99.99,99.98,100.0,100.0,100.0
Telangana,42917,30015,700,12023,179,39444,27852,597,10899,96,91.91,92.79,85.29,90.65,53.63
Tripura,4934,4265,43,360,266,3253,2933,29,211,80,65.93,68.77,67.44,58.61,30.08
Uttar Pradesh,256911,137068,8125,96741,14977,198365,129048,5696,57645,5976,77.21,94.15,70.1,59.59,39.9
Uttarakhand,23169,16651,614,5396,508,20782,15555,505,4443,279,89.7,93.42,82.25,82.34,54.92
West Bengal,95153,83379,87,10042,1645,82459,76346,60,5166,887,86.66,91.57,68.97,51.44,53.92
