State,Total Schools - All Management,Total Schools - Govt.,Total Schools - Govt. Aided,Total Schools - Pvt. Unaided,Total Schools - Others,Number of Schools with Ramps for CWSN - All Management,Number of Schools with Ramps for CWSN - Govt.,Number of Schools with Ramps for CWSN - Govt. Aided,Number of Schools with Ramps for CWSN - Pvt. Unaided,Number of Schools with Ramps for CWSN - Others,% of Schools with Ramps for CWSN - All Management,% of Schools with Ramps for CWSN - Govt.,% of Schools with Ramps for CWSN - Govt. Aided,% of Schools with Ramps for CWSN - Pvt. Unaided,% of Schools with Ramps for CWSN - Others
Andaman and Nicobar Islands,417,342,2,73,0,234,212,0,22,0,56.12,61.99,0.0,30.14,0.0
Andhra Pradesh,63343,45145,2121,15792,285,27737,23606,483,3607,41,43.79,52.29,22.77,22.84,14.39
Arunachal Pradesh,3675,3061,67,496,51,781,681,16,78,6,21.25,22.25,23.88,15.73,11.76
Assam,65203,46749,4983,6045,7426,43656,42317,394,700,245,66.95,90.52,7.91,11.58,3.3
Bihar,93459,75555,735,7923,9246,65953,59833,334,2797,2989,70.57,79.19,45.44,35.3,32.33
Chandigarh,230,121,7,75,27,200,118,5,70,7,86.96,97.52,71.43,93.33,25.93
Chhattisgarh,56494,48619,430,7131,314,47624,43643,265,3596,120,84.3,89.77,61.63,50.43,38.22
Dadra and Nagar Haveli and Daman and Diu,479,407,8,63,1,445,405,7,33,0,92.9,99.51,87.5,52.38,0.0
Delhi,5642,2751,250,2641,0,5642,2751,250,2641,0,100.0,100.0,100.0,100.0,0.0
Goa,1481,821,522,138,0,855,704,121,30,0,57.73,85.75,23.18,21.74,0.0
Gujarat,54444,34967,5640,13834,3,44471,33821,3662,6985,3,81.68,96.72,64.93,50.49,100.0
Haryana,23764,14563,17,8235,949,16581,11880,10,4361,330,69.77,81.58,58.82,52.96,34.77
Himachal Pradesh,18145,15391,0,2753,1,13282,12805,0,477,0,73.2,83.2,0.0,17.33,0.0
Jammu and Kashmir,28930,23167,1,5649,113,10976,9947,0,1014,15,37.94,42.94,0.0,17.95,13.27
Jharkhand,45319,35888,1175,1542,6714,28832,26498,313,544,1477,63.62,73.84,26.64,35.28,22.0
Karnataka,76905,49791,7182,19915,17,48763,38958,2993,6811,1,63.41,78.24,41.67,34.2,5.88
Kerala,16481,5020,7191,3241,1029,12161,4483,6226,1133,319,73.79,89.3,86.58,34.96,31.0
Ladakh,1056,915,29,112,0,874,826,6,42,0,82.77,90.27,20.69,37.5,0.0
Lakshadweep,45,45,0,0,0,45,45,0,0,0,100.0,100.0,0.0,0.0,0.0
Madhya Pradesh,133271,99152,773,31512,1834,106987,86018,580,19554,835,80.28,86.75,75.03,62.05,45.53
Maharashtra,110114,65734,23924,19632,824,100924,63373,21439,15631,481,91.65,96.41,89.61,79.62,58.37
Manipur,4653,2878,585,1027,163,2370,2025,153,172,20,50.93,70.36,26.15,16.75,12.27
Meghalaya,14694,7795,4176,2179,544,3975,3130,600,193,52,27.05,40.15,14.37,8.86,9.56
Mizoram,3925,2558,231,1050,86,1734,1563,53,113,5,44.18,61.1,22.94,10.76,5.81
Nagaland,2719,1975,0,743,1,1048,940,0,108,0,38.54,47.59,0.0,14.54,0.0
Odisha,64185,50256,5844,6393,1692,52341,44467,2394,4568,912,81.55,88.48,40.97,71.45,53.9
Puducherry,741,422,33,286,0,485,393,6,86,0,65.45,93.13,18.18,30.07,0.0
Punjab,28695,19330,455,8893,17,28695,19330,455,8893,17,100.0,100.0,100.0,100.0,100.0
Rajasthan,107376,68813,0,36023,2540,66234,48910,0,17032,292,61.68,71.08,0.0,47.28,11.5
Sikkim,1263,851,19,393,0,250,204,3,43,0,19.79,23.97,15.79,10.94,0.0
Tamil Nadu,58904,37589,8326,12402,587,47128,37340,5309,4325,154,80.01,99.34,63.76,34.87,26.24
Telangana,42917,30015,700,12023,179,34867,25495,225,9070,77,81.24,84.94,32.14,75.44,43.02
Tripura,4934,4265,43,360,266,2627,2488,27,74,38,53.24,58.34,62.79,20.56,14.29
Uttar Pradesh,256911,137068,8125,96741,14977,162603,112296,4486,41185,4636,63.29,81.93,55.21,42.57,30.95
Uttarakhand,23169,16651,614,5396,508,13528,11976,176,1255,121,58.39,71.92,28.66,23.26,23.82
West Bengal,95153,83379,87,10042,1645,72844,69989,51,2478,326,76.55,83.94,58.62,24.68,19.82
