State,Projected Population by Age Group - Scheduled Tribes (ST) - Age 3-5 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 3-5 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 3-5 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-10 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-10 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-10 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 11-13 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 11-13 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 11-13 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-13 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-13 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-13 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 14-15 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 14-15 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 14-15 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 16-17 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 16-17 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 16-17 - Total
Andaman and Nicobar Islands,1165.0,1114.0,2278.0,1445.0,1245.0,2690.0,856.0,747.0,1603.0,2301.0,1992.0,4292.0,678.0,598.0,1276.0,632.0,571.0,1203.0
Andhra Pradesh,87013.0,80801.0,167814.0,129808.0,119717.0,249525.0,73480.0,69509.0,142989.0,203288.0,189226.0,392514.0,49300.0,46851.0,96151.0,47353.0,44434.0,91787.0
Arunachal Pradesh,31357.0,29657.0,61014.0,50298.0,48309.0,98607.0,36783.0,37049.0,73832.0,87081.0,85358.0,172439.0,25620.0,25801.0,51422.0,23020.0,23443.0,46462.0
Assam,136451.0,124254.0,260705.0,195943.0,182843.0,378787.0,129840.0,127853.0,257693.0,325784.0,310696.0,636480.0,91888.0,92454.0,184342.0,91340.0,94852.0,186192.0
Bihar,67747.0,63343.0,131090.0,94993.0,89413.0,184406.0,55324.0,54694.0,110017.0,150317.0,144107.0,294424.0,36618.0,35682.0,72300.0,35522.0,34535.0,70057.0
Chandigarh,,,,,,,,,,,,,,,,,,
Chhattisgarh,342355.0,332293.0,674648.0,469210.0,451123.0,920333.0,252445.0,249157.0,501603.0,721655.0,700281.0,1421936.0,169511.0,165226.0,334737.0,163080.0,162790.0,325870.0
Dadra and Nagar Haveli and Daman and Diu,9959.0,9524.0,19482.0,15051.0,13712.0,28763.0,9648.0,8912.0,18560.0,24699.0,22624.0,47323.0,5918.0,5178.0,11097.0,5405.0,4848.0,10253.0
Delhi,,,,,,,,,,,,,,,,,,
Goa,4706.0,4428.0,9134.0,7148.0,6591.0,13739.0,4693.0,4250.0,8943.0,11841.0,10841.0,22682.0,3221.0,2810.0,6031.0,3067.0,3007.0,6074.0
Gujarat,408539.0,370648.0,779187.0,520689.0,485824.0,1006514.0,292768.0,280870.0,573638.0,813457.0,766695.0,1580152.0,192420.0,180688.0,373108.0,182900.0,167930.0,350831.0
Haryana,,,,,,,,,,,,,,,,,,
Himachal Pradesh,11135.0,10553.0,21687.0,16522.0,15180.0,31703.0,10827.0,10122.0,20949.0,27349.0,25303.0,52652.0,7323.0,6975.0,14298.0,7431.0,7215.0,14646.0
Jammu and Kashmir,45268.0,44204.0,89472.0,75461.0,71129.0,146590.0,59618.0,51544.0,111162.0,135079.0,122673.0,257752.0,35552.0,29311.0,64863.0,30284.0,24873.0,55158.0
Jharkhand,373742.0,352175.0,725917.0,518183.0,489145.0,1007329.0,320976.0,319520.0,640496.0,839160.0,808665.0,1647825.0,213795.0,214770.0,428565.0,203922.0,212199.0,416121.0
Karnataka,146464.0,137562.0,284026.0,202239.0,191838.0,394076.0,120823.0,116905.0,237728.0,323061.0,308743.0,631804.0,84938.0,80265.0,165203.0,86057.0,77922.0,163979.0
Kerala,14533.0,13705.0,28237.0,21532.0,20049.0,41581.0,13126.0,12756.0,25883.0,34658.0,32805.0,67464.0,7870.0,7803.0,15672.0,7241.0,6867.0,14109.0
Ladakh,10040.0,9473.0,19513.0,13662.0,12368.0,26030.0,8851.0,7814.0,16665.0,22513.0,20182.0,42695.0,5924.0,5667.0,11591.0,6075.0,5713.0,11788.0
Lakshadweep,2240.0,2087.0,4327.0,3354.0,3117.0,6471.0,1998.0,2228.0,4225.0,5352.0,5345.0,10696.0,1441.0,1376.0,2817.0,1406.0,1525.0,2930.0
Madhya Pradesh,832016.0,789947.0,1621963.0,1078499.0,1042010.0,2120509.0,543856.0,542189.0,1086045.0,1622355.0,1584198.0,3206554.0,355377.0,343099.0,698476.0,334225.0,328050.0,662275.0
Maharashtra,385351.0,360380.0,745732.0,580006.0,537244.0,1117250.0,359162.0,330889.0,690050.0,939168.0,868132.0,1807300.0,231585.0,209295.0,440880.0,223637.0,203339.0,426976.0
Manipur,32768.0,29444.0,62212.0,58900.0,53069.0,111969.0,45789.0,41764.0,87553.0,104689.0,94832.0,199522.0,32731.0,30423.0,63153.0,32469.0,31525.0,63994.0
Meghalaya,99872.0,94524.0,194396.0,136377.0,130342.0,266719.0,96425.0,94385.0,190810.0,232802.0,224727.0,457529.0,61873.0,61047.0,122920.0,61352.0,60479.0,121831.0
Mizoram,30980.0,29269.0,60250.0,44933.0,42696.0,87629.0,32276.0,30850.0,63125.0,77209.0,73546.0,150754.0,21347.0,20563.0,41910.0,22372.0,21823.0,44195.0
Nagaland,53347.0,48530.0,101877.0,85615.0,78684.0,164298.0,65089.0,60121.0,125210.0,150704.0,138805.0,289508.0,44044.0,40857.0,84900.0,43435.0,42480.0,85915.0
Odisha,380349.0,373902.0,754252.0,546356.0,540108.0,1086464.0,300151.0,291467.0,591618.0,846507.0,831576.0,1678082.0,190540.0,184092.0,374632.0,178171.0,174731.0,352903.0
Puducherry,,,,,,,,,,,,,,,,,,
Punjab,,,,,,,,,,,,,,,,,,
Rajasthan,476551.0,431111.0,907661.0,633630.0,575904.0,1209534.0,335031.0,310619.0,645649.0,968661.0,886523.0,1855183.0,219594.0,203801.0,423395.0,211068.0,201669.0,412736.0
Sikkim,4539.0,4265.0,8805.0,8281.0,7961.0,16241.0,6852.0,6677.0,13529.0,15133.0,14638.0,29771.0,4689.0,4574.0,9263.0,4946.0,4983.0,9929.0
Tamil Nadu,27907.0,24808.0,52715.0,40005.0,36416.0,76421.0,22104.0,20783.0,42887.0,62109.0,57199.0,119308.0,14481.0,12913.0,27394.0,13323.0,11899.0,25222.0
Telangana,117003.0,102342.0,219345.0,171729.0,154669.0,326398.0,103211.0,94379.0,197591.0,274940.0,249049.0,523989.0,71488.0,65033.0,136521.0,67372.0,59363.0,126734.0
Tripura,36878.0,34595.0,71473.0,52275.0,49124.0,101399.0,40258.0,38033.0,78292.0,92533.0,87157.0,179691.0,26444.0,24730.0,51174.0,26437.0,24143.0,50580.0
Uttar Pradesh,61202.0,56119.0,117321.0,78939.0,73209.0,152148.0,38721.0,37161.0,75883.0,117661.0,110370.0,228031.0,25803.0,23527.0,49330.0,24940.0,22631.0,47571.0
Uttarakhand,8581.0,7631.0,16212.0,13184.0,11662.0,24846.0,9421.0,8666.0,18087.0,22605.0,20328.0,42932.0,6866.0,6325.0,13191.0,6940.0,6672.0,13612.0
West Bengal,162194.0,155775.0,317969.0,237131.0,228525.0,465657.0,147737.0,144571.0,292308.0,384868.0,373097.0,757965.0,104155.0,98073.0,202228.0,104240.0,99461.0,203702.0
